p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
LOC340211.52	6.75629561759909e-140	0.33710307186659	0.369	0	6.69481332747894e-135	LOC340211.52	AER
GPX3	4.10152764140416e-138	0.549607670384974	0.72	0.055	4.06420373986738e-133	GPX3	AER
DNASE1L3	4.66669697740823e-138	0.518974208589357	0.758	0.059	4.62423003491381e-133	DNASE1L3	AER
AMEX60DDU001033692.1	4.0859410348552e-137	0.273389645292699	0.369	0.001	4.04875897143802e-132	AMEX60DDU001033692.1	AER
KRT4.1	1.06238373663246e-136	1.16753028388006	0.93	0.149	1.05271604462911e-131	KRT4.1	AER
AMEX60DDU001010489.1	5.40025153288179e-135	0.265255092835348	0.357	0	5.35110924393257e-130	AMEX60DDU001010489.1	AER
RPS12.7	8.98551640021017e-135	0.303054358321227	0.459	0.01	8.90374820096826e-130	RPS12.7	AER
AXRNBP.2	3.58012791302409e-134	0.250370658111797	0.395	0.004	3.54754874901557e-129	AXRNBP.2	AER
NFKBIE	3.87066542173054e-134	0.467916084871266	0.675	0.046	3.8354423663928e-129	NFKBIE	AER
AMEX60DDU001028191.1	5.09767404081053e-134	0.256681835211835	0.401	0.004	5.05128520703915e-129	AMEX60DDU001028191.1	AER
LOC115572203.1	1.51299459574436e-132	0.266016723009947	0.35	0	1.49922634492309e-127	LOC115572203.1	AER
UBA52.1	4.79002624644482e-132	1.15144980290564	0.987	0.171	4.74643700760217e-127	UBA52.1	AER
SMAD6	5.8952958741152e-131	0.426655256461469	0.637	0.04	5.84164868166075e-126	SMAD6	AER
LOXE.1	1.0034158205382e-130	0.482754591508562	0.49	0.017	9.942847365713e-126	LOXE.1	AER
STC2	1.67738180494789e-130	0.864797183197445	0.809	0.088	1.66211763052286e-125	STC2	AER
RPL8.5	1.74130560242736e-130	1.05075104934731	0.994	0.253	1.72545972144527e-125	RPL8.5	AER
UNC5C	3.29743841505506e-128	0.498029494184309	0.688	0.052	3.26743172547806e-123	UNC5C	AER
AMEX60DD301026101.1	1.16641453416154e-127	0.253552052060109	0.338	0	1.15580016190067e-122	AMEX60DD301026101.1	AER
AMEX60DDU001037535.1	1.16641453416154e-127	0.260585710528583	0.338	0	1.15580016190067e-122	AMEX60DDU001037535.1	AER
